2024;;;
name_;code_;male_;female_
St. Bernhard-Frauenhofen;<31123>;636;636
Sigmundsherberg;<31124>;854;851
Straning-Grafenberg;<31130>;356;340
Weitersfeld;<31129>;776;767
Aggsbach;<31301>;299;318
Albrechtsberg an der Großen Krems;<31302>;500;493
Bergern im Dunkelsteinerwald;<31303>;628;682
Droß;<31356>;530;493
Dürnstein;<31304>;385;422
Furth bei Göttweig;<31309>;1502;1521
Gedersdorf;<31310>;1122;1043
Gföhl;<31311>;1903;1911
Grafenegg;<31308>;1624;1691
Hadersdorf-Kammern;<31315>;960;1035
Jaidhof;<31319>;620;625
Krumau am Kamp;<31321>;370;362
Langenlois;<31322>;3626;3864
Lengenfeld;<31323>;702;711
Lichtenau im Waldviertel;<31324>;1028;1003
Maria Laach am Jauerling;<31326>;452;445
Mautern an der Donau;<31327>;1608;1805
Mühldorf;<31330>;599;639
Paudorf;<31333>;1332;1369
Rastenfeld;<31336>;805;776
Rohrendorf bei Krems;<31337>;1057;1060
Rossatz-Arnsdorf;<31338>;496;544
St. Leonhard am Hornerwald;<31340>;567;551
Schönberg am Kamp;<31355>;923;934
Senftenberg;<31343>;930;966
Spitz;<31344>;759;786
Straß im Straßertale;<31346>;882;902
Stratzing;<31347>;409;476
Weinzierl am Walde;<31350>;620;581
Weißenkirchen in der Wachau;<31351>;675;704
Dietmanns;<32202>;513;532
Dobersberg;<32203>;800;754
Gastern;<32206>;584;581
Groß-Siegharts;<32207>;1347;1327
Karlstein an der Thaya;<32209>;730;727
Kautzen;<32210>;564;504
Ludweis-Aigen;<32212>;447;428
Pfaffenschlag bei Waidhofen a.d.Thaya;<32214>;467;459
Raabs an der Thaya;<32216>;1309;1325
Thaya;<32217>;740;728
Vitis;<32219>;1396;1296
Waidhofen an der Thaya;<32220>;2460;2746
Waidhofen an der Thaya-Land;<32221>;654;638
Waldkirchen an der Thaya;<32222>;232;254
Windigsteig;<32223>;456;492
Allentsteig;<32501>;851;885
Altmelon;<32519>;435;421
Arbesbach;<32502>;830;740
Bärnkopf;<32503>;175;169
Echsenbach;<32504>;662;614
Göpfritz an der Wild;<32505>;883;871
Grafenschlag;<32506>;424;420
Groß Gerungs;<32508>;2284;2184
Großgöttfritz;<32509>;687;632
Gutenbrunn;<32511>;244;261
Kirchschlag;<32514>;310;305
Kottes-Purk;<32515>;725;722
Langschlag;<32516>;887;824
Martinsberg;<32517>;548;517
Ottenschlag;<32518>;501;513
Pölla;<32520>;455;443
Rappottenstein;<32521>;893;845
Sallingberg;<32522>;632;653
Schönbach;<32523>;397;355
Schwarzenau;<32524>;756;737
Schweiggers;<32525>;1013;1018
Traunstein;<32528>;506;482
Waldhausen;<32529>;614;566
Zwettl-Niederösterreich;<32530>;5267;5499
Drösing;<30810>;571;576
Dürnkrut;<30811>;1109;1130
Hauskirchen;<30826>;641;658
Hohenau an der March;<30827>;1347;1446
Jedenspeigen;<30829>;570;565
Neusiedl an der Zaya;<30841>;630;612
Palterndorf-Dobermannsdorf;<30845>;653;672
Ringelsdorf-Niederabsdorf;<30850>;637;646
Sulz im Weinviertel;<30857>;618;615
Zistersdorf;<30863>;2653;2803
Alberndorf im Pulkautal;<31001>;352;358
Göllersdorf;<31008>;1638;1574
Grabern;<31009>;831;900
Guntersdorf;<31014>;591;582
Hadres;<31015>;866;875
Hardegg;<31016>;633;650
Haugsdorf;<31018>;802;790
Heldenberg;<31019>;749;737
Hohenwarth-Mühlbach a.M.;<31021>;628;711
Hollabrunn;<31022>;6006;6373
Mailberg;<31025>;274;276
Maissau;<31026>;973;985
Nappersdorf-Kammersdorf;<31028>;618;580
Pernersdorf;<31033>;528;533
Pulkau;<31035>;731;745
Ravelsbach;<31036>;807;847
Retz;<31037>;2136;2117
Retzbach;<31038>;471;527
Schrattenthal;<31041>;441;447
Seefeld-Kadolz;<31042>;478;459
Sitzendorf an der Schmida;<31043>;1118;1085
Wullersdorf;<31051>;1214;1209
Zellerndorf;<31052>;1227;1181
Ziersdorf;<31053>;1675;1698
Altlichtenwarth;<31601>;390;364
Asparn an der Zaya;<31603>;959;962
Bernhardsthal;<31604>;781;804
Drasenhofen;<31606>;555;561
Falkenstein;<31608>;258;301
Fallbach;<31609>;405;399
Gaubitsch;<31611>;466;452
Gaweinstal;<31612>;2040;2094
Gnadendorf;<31613>;594;596
Großharras;<31616>;543;529
Großkrut;<31617>;872;824
Hausbrunn;<31620>;461;430
Herrnbaumgarten;<31621>;479;459
Laa an der Thaya;<31629>;3110;3199
Ladendorf;<31630>;1188;1160
Mistelbach;<31633>;5751;6285
Neudorf im Weinviertel;<31634>;679;676
Niederleis;<31636>;451;466
Ottenthal;<31658>;264;266
Poysdorf;<31644>;2760;2894
Rabensburg;<31645>;517;551
Schrattenberg;<31646>;425;418
Staatz;<31649>;963;973
Stronsdorf;<31650>;777;788
Unterstinkenbrunn;<31652>;299;266
Wildendürnbach;<31653>;772;769
Wilfersdorf;<31654>;1030;1043
Aderklaa;<30801>;121;105
Andlersdorf;<30802>;82;88
Angern an der March;<30803>;1738;1773
Auersthal;<30804>;984;1004
